sum(PWGTP),SCHL_grouped,PINCP_adjusted
550,N/A,448000
685,Masters degree,749000
467,Bachelors degree,702000
331,Masters degree,849000
573,N/A,467000
1715,Pre-degree college,306000
2679,Associates degree,-8000
570,Pre-degree college,411000
703,Regular high school diploma,305000
136,Pre-diploma grade,329000
1015,Pre-degree college,335000
272,GED or alternative credential,250000
64,Regular high school diploma,636000
2868,Associates degree,211000
53,Regular high school diploma,628000
316,Masters degree,819000
615,N/A,486000
444,N/A,534000
48,Masters degree,1248000
1741,N/A,716000
59,Pre-degree college,940000
87,N/A,694000
688,Masters degree,703000
398,Masters degree,797000
457,Bachelors degree,722000
364,Associates degree,434000
1062,Masters degree,-7000
795,Masters degree,795000
4,Regular high school diploma,908000
137,Associates degree,411000
259,N/A,730000
784,Regular high school diploma,335000
274,Pre-diploma grade,298000
938,Pre-degree college,305000
384,Pre-degree college,413000
938,Pre-diploma grade,184000
51,Pre-diploma grade,823000
328,Bachelors degree,799000
739,Regular high school diploma,603000
340,Associates degree,335000
3188,Pre-degree college,222000
1053,Bachelors degree,664000
498,N/A,453000
63,Masters degree,963000
818,N/A,318000
286,N/A,593000
715,Pre-degree college,435000
904,Masters degree,829000
763,Regular high school diploma,332000
40,Pre-diploma grade,572000
778,Pre-degree college,754000
160,Associates degree,430000
747,N/A,358000
171,Pre-diploma grade,508000
61,Pre-diploma grade,577000
1123,Regular high school diploma,522000
318,Pre-diploma grade,576000
75,Masters degree,1266000
703,Bachelors degree,668000
1624,N/A,242000
26,Masters degree,1040000
100,GED or alternative credential,368000
716,N/A,345000
67,GED or alternative credential,530000
109,Pre-diploma grade,341000
143,Pre-diploma grade,563000
152,Pre-diploma grade,299000
52,N/A,805000
1395,Associates degree,262000
46,GED or alternative credential,611000
820,Regular high school diploma,430000
435,N/A,431000
756,Pre-diploma grade,192000
468,Pre-diploma grade,210000
1794,GED or alternative credential,208000
64,Regular high school diploma,573000
33,GED or alternative credential,675000
222,Pre-diploma grade,422000
99,N/A,900000
405,Associates degree,399000
252,Pre-diploma grade,356000
663,Regular high school diploma,306000
740,Pre-diploma grade,-9000
51,Regular high school diploma,556000
1287,Masters degree,529000
20,Associates degree,713000
1248,Bachelors degree,645000
351,Pre-diploma grade,433000
23,Pre-diploma grade,756000
127,Bachelors degree,1204000
620,Pre-degree college,509000
156,Associates degree,473000
581,Associates degree,332000
355,N/A,416000
191,Associates degree,509000
390,Pre-degree college,501000
433,Associates degree,489000
61,Masters degree,961000
666,Masters degree,1111000
604,Regular high school diploma,435000
324,Pre-diploma grade,251000
