sum(PWGTP),SCHL_grouped,PINCP_adjusted
30,GED or alternative credential,578000
19,Pre-degree college,1211000
40,Regular high school diploma,613000
81,Pre-degree college,688000
71,Masters degree,1123000
3,N/A,1088000
10,Masters degree,1139000
60,Pre-diploma grade,682000
55,Bachelors degree,1060000
27,Bachelors degree,971000
11,Bachelors degree,1147000
40,Pre-degree college,742000
47,Regular high school diploma,646000
36,Masters degree,1051000
11,Pre-diploma grade,768000
3,Regular high school diploma,874000
11,N/A,1033000
12,Bachelors degree,1381000
19,N/A,949000
14,Masters degree,1112000
11,Associates degree,831000
17,N/A,1126000
44,GED or alternative credential,376000
2,Masters degree,1389000
47,Pre-diploma grade,1087000
9,N/A,1046000
4,N/A,1424000
38,Pre-degree college,876000
24,Pre-degree college,1041000
26,GED or alternative credential,565000
38,Pre-degree college,992000
62,N/A,834000
24,Pre-degree college,1052000
5,Regular high school diploma,991000
12,Masters degree,1555000
3,GED or alternative credential,583000
9,Masters degree,1865000
19,Associates degree,1095000
17,Bachelors degree,1263000
9,N/A,1075000
15,Regular high school diploma,794000
51,Associates degree,646000
105,GED or alternative credential,621000
45,N/A,893000
4,Associates degree,876000
4,Pre-diploma grade,574000
38,Regular high school diploma,847000
18,Associates degree,780000
43,Masters degree,1048000
12,Associates degree,714000
51,Pre-degree college,1257000
17,Bachelors degree,1034000
65,GED or alternative credential,640000
2,Associates degree,613000
29,Pre-diploma grade,891000
103,Regular high school diploma,1268000
1,GED or alternative credential,803000
4,Associates degree,654000
38,N/A,1182000
16,Masters degree,1207000
3,GED or alternative credential,446000
18,N/A,950000
10,Associates degree,827000
11,Pre-diploma grade,854000
52,Masters degree,1326000
14,Associates degree,717000
39,Pre-degree college,1025000
19,N/A,1003000
34,Regular high school diploma,1211000
56,Regular high school diploma,1490000
10,N/A,1358000
32,Masters degree,1332000
16,GED or alternative credential,572000
21,Pre-degree college,1623000
14,Associates degree,895000
18,N/A,1112000
12,N/A,1181000
14,Masters degree,1162000
31,Bachelors degree,1185000
11,Masters degree,1135000
18,GED or alternative credential,830000
8,GED or alternative credential,1118000
19,Pre-diploma grade,861000
30,N/A,872000
21,Associates degree,898000
10,Associates degree,1032000
11,GED or alternative credential,808000
12,GED or alternative credential,707000
24,Regular high school diploma,831000
1030946,Pre-degree college,11000
29146,N/A,75000
169280,Masters degree,64000
630673,Pre-diploma grade,9000
318560,Bachelors degree,72000
17861,N/A,84000
475721,Bachelors degree,21000
118912,Masters degree,101000
152998,Masters degree,29000
154,Pre-diploma grade,282000
273832,Masters degree,57000
382510,Bachelors degree,27000
465815,Regular high school diploma,56000
530425,Pre-degree college,32000
322639,Associates degree,14000
166573,Masters degree,91000
1528785,Regular high school diploma,11000
482173,Bachelors degree,31000
220583,Associates degree,38000
384223,Bachelors degree,12000
26156,GED or alternative credential,81000
441442,Pre-diploma grade,23000
575220,Regular high school diploma,38000
1291462,Regular high school diploma,14000
1008838,Pre-degree college,14000
223635,Pre-diploma grade,34000
96190,Masters degree,148000
517627,Pre-degree college,38000
228837,Associates degree,56000
418183,Bachelors degree,13000
129284,Masters degree,2000
519851,Bachelors degree,68000
98761,Masters degree,134000
107437,Masters degree,5000
640770,Regular high school diploma,32000
169658,Pre-diploma grade,40000
19971,Associates degree,167000
127883,GED or alternative credential,22000
26266,N/A,91000
68124,N/A,19000
235115,Bachelors degree,125000
24958,Pre-degree college,143000
45180,Pre-degree college,156000
307507,Associates degree,11000
105207,Bachelors degree,154000
13765,Pre-degree college,158000
205288,Associates degree,32000
3467,Masters degree,373000
125653,Masters degree,44000
3493,N/A,202000
374111,Pre-diploma grade,24000
155847,Masters degree,28000
732,Regular high school diploma,442000
165987,Masters degree,116000
137332,Masters degree,6000
16684,Masters degree,204000
55030,Regular high school diploma,96000
621,Masters degree,778000
16785,Pre-diploma grade,-2000
259729,Pre-degree college,55000
158794,Pre-diploma grade,45000
475994,Pre-diploma grade,16000
466681,Pre-degree college,56000
472124,Bachelors degree,78000
53452,Associates degree,103000
36683,Pre-degree college,124000
48112,Bachelors degree,135000
188334,Masters degree,111000
217792,Bachelors degree,118000
276199,Bachelors degree,114000
3274,Masters degree,401000
119842,Masters degree,76000
63949,Masters degree,131000
153688,Masters degree,87000
17181,Masters degree,214000
5504,Bachelors degree,248000
243,GED or alternative credential,443000
138861,Regular high school diploma,95000
182628,Pre-diploma grade,42000
234318,Bachelors degree,62000
43685,Associates degree,96000
92701,Pre-diploma grade,59000
17696,N/A,76000
180436,Pre-degree college,95000
39878,Pre-degree college,167000
127034,Masters degree,79000
96558,Associates degree,95000
202857,Masters degree,50000
128833,Masters degree,54000
6048,Bachelors degree,564000
184617,Bachelors degree,69000
178558,Masters degree,41000
10129,Bachelors degree,554000
39443,GED or alternative credential,71000
1185,Bachelors degree,663000
5658,N/A,213000
139866,Masters degree,26000
6690,N/A,153000
68905,N/A,29000
643912,Bachelors degree,46000
28815,Bachelors degree,159000
6157,Pre-diploma grade,110000
42049,Pre-diploma grade,73000
8503,Pre-degree college,198000
111561,Masters degree,130000
208577,GED or alternative credential,10000
171703,Pre-diploma grade,47000
61953,GED or alternative credential,58000
115148,Associates degree,55000
6526,N/A,163000
1077,Regular high school diploma,662000
51433,N/A,57000
85836,N/A,6000
12214,N/A,131000
4216,Pre-degree college,210000
99285,Pre-degree college,103000
41881,Bachelors degree,161000
5675,N/A,217000
75062,Pre-degree college,96000
56294,GED or alternative credential,51000
126883,Pre-diploma grade,37000
128011,Bachelors degree,106000
309676,Masters degree,83000
403,N/A,401000
199755,Masters degree,75000
31319,Masters degree,153000
23,GED or alternative credential,780000
244116,Regular high school diploma,55000
19706,N/A,134000
114170,Masters degree,115000
10636,Bachelors degree,274000
433,N/A,558000
8318,Regular high school diploma,200000
90735,GED or alternative credential,52000
71191,N/A,28000
6656,Associates degree,149000
118145,Masters degree,19000
37418,Masters degree,195000
49513,N/A,83000
20354,Associates degree,124000
1191,Pre-degree college,294000
5629,Masters degree,558000
23419,Regular high school diploma,167000
4610,Pre-degree college,296000
1366,GED or alternative credential,-3000
43213,Bachelors degree,168000
3055,Masters degree,394000
110715,Masters degree,84000
8998,Pre-degree college,203000
7791,Pre-degree college,209000
10472,Masters degree,644000
24477,Masters degree,285000
79860,N/A,2000
27482,N/A,44000
11,N/A,1381000
336,Associates degree,479000
2988,Bachelors degree,437000
36241,Masters degree,147000
63283,N/A,5000
11068,GED or alternative credential,97000
18625,N/A,79000
38008,N/A,50000
5925,Associates degree,158000
14178,Masters degree,202000
21280,N/A,130000
30943,Masters degree,213000
24898,N/A,64000
11126,Bachelors degree,284000
10558,Pre-degree college,184000
1326,Masters degree,596000
2278,Regular high school diploma,-9000
26050,Masters degree,163000
13503,Pre-degree college,149000
767,Pre-degree college,-4000
24906,Pre-diploma grade,104000
72329,Regular high school diploma,103000
2758,Bachelors degree,375000
21085,N/A,54000
2201,Pre-diploma grade,182000
6928,GED or alternative credential,102000
702,N/A,300000
18498,Bachelors degree,196000
28345,N/A,116000
13470,Associates degree,143000
9597,Bachelors degree,221000
11321,Pre-diploma grade,88000
2695,Masters degree,610000
16736,Regular high school diploma,143000
52471,N/A,41000
5218,Regular high school diploma,184000
14780,Regular high school diploma,160000
22,Associates degree,707000
7647,N/A,195000
22672,GED or alternative credential,77000
5055,Masters degree,546000
150456,Masters degree,99000
3816,Masters degree,461000
55612,Pre-diploma grade,70000
4864,Bachelors degree,474000
2796,Masters degree,470000
5837,Pre-degree college,183000
7063,Pre-diploma grade,105000
2321,Bachelors degree,410000
2969,Masters degree,377000
1152,GED or alternative credential,157000
79336,Pre-diploma grade,49000
525,Bachelors degree,678000
32417,N/A,111000
29473,Masters degree,201000
16435,Masters degree,224000
17706,N/A,101000
25335,Associates degree,156000
24317,N/A,99000
10910,Bachelors degree,231000
3473,Associates degree,198000
4409,Masters degree,441000
19638,Masters degree,267000
1755,Masters degree,-6000
541,Bachelors degree,692000
22785,N/A,87000
16046,Masters degree,240000
1484,Pre-degree college,356000
6310,Bachelors degree,258000
14345,Pre-degree college,200000
1474,Masters degree,660000
17312,Bachelors degree,225000
70187,N/A,26000
231,Masters degree,1131000
1747,Regular high school diploma,227000
201,GED or alternative credential,499000
223,Pre-degree college,446000
18176,Bachelors degree,235000
1131,GED or alternative credential,152000
2274,Masters degree,553000
10754,Bachelors degree,544000
40,Bachelors degree,1389000
30229,Regular high school diploma,156000
979,N/A,521000
6142,GED or alternative credential,139000
20700,Regular high school diploma,124000
3813,GED or alternative credential,112000
1171,Masters degree,704000
4853,Masters degree,507000
19908,N/A,115000
876,Pre-degree college,351000
3563,Bachelors degree,550000
4894,Regular high school diploma,209000
10543,Masters degree,365000
986,Pre-degree college,341000
1905,Pre-diploma grade,150000
579,N/A,423000
19227,N/A,148000
37802,GED or alternative credential,60000
1411,Pre-degree college,576000
12403,GED or alternative credential,85000
3219,Pre-degree college,251000
2381,Masters degree,454000
6435,GED or alternative credential,108000
59176,Bachelors degree,126000
7041,Masters degree,552000
960,Pre-degree college,376000
2374,Masters degree,337000
5717,Masters degree,275000
1185,Pre-degree college,286000
9469,Masters degree,314000
4733,Associates degree,184000
5540,Pre-diploma grade,113000
417,Pre-degree college,577000
471,N/A,569000
1793,Masters degree,557000
24935,Masters degree,217000
4117,Bachelors degree,288000
494,Regular high school diploma,563000
13680,Associates degree,160000
5008,Masters degree,336000
3059,Masters degree,350000
5450,Masters degree,295000
2918,Regular high school diploma,183000
1687,N/A,268000
938,Pre-degree college,389000
1984,Masters degree,359000
4788,Bachelors degree,317000
580,Pre-degree college,508000
5978,Associates degree,200000
6784,N/A,147000
500,N/A,470000
1839,Masters degree,517000
744,GED or alternative credential,193000
2116,Bachelors degree,392000
4236,Bachelors degree,379000
1579,Pre-diploma grade,144000
227,N/A,755000
6333,Pre-diploma grade,122000
848,Regular high school diploma,341000
3125,Masters degree,738000
183,Masters degree,942000
1106,N/A,343000
7373,Bachelors degree,252000
387,Bachelors degree,773000
893,Masters degree,777000
3373,Pre-degree college,227000
4295,Regular high school diploma,198000
681,Regular high school diploma,535000
159,Pre-diploma grade,316000
6127,N/A,201000
3655,Bachelors degree,460000
1104,N/A,488000
2572,Masters degree,449000
490,N/A,482000
773,N/A,699000
8008,Pre-diploma grade,109000
6213,Masters degree,488000
3482,N/A,240000
2593,Masters degree,727000
3691,N/A,214000
1793,Masters degree,492000
24913,Pre-degree college,160000
3438,GED or alternative credential,178000
4788,Masters degree,510000
10194,GED or alternative credential,107000
1314,Masters degree,659000
4609,Masters degree,343000
5107,Pre-degree college,192000
9157,Masters degree,287000
618,Associates degree,662000
9099,Bachelors degree,669000
680,N/A,610000
2003,Associates degree,210000
3892,Masters degree,310000
6993,Regular high school diploma,149000
344,N/A,457000
873,Regular high school diploma,433000
1356,N/A,295000
1806,Pre-degree college,259000
3822,Bachelors degree,451000
8949,GED or alternative credential,92000
8924,Masters degree,268000
1096,Masters degree,732000
3714,Masters degree,283000
56,Masters degree,1138000
2509,Associates degree,192000
3022,Bachelors degree,562000
1008,N/A,394000
5420,Bachelors degree,491000
2901,Masters degree,429000
87,GED or alternative credential,352000
991,GED or alternative credential,223000
3136,Bachelors degree,592000
11953,Pre-diploma grade,90000
1745,N/A,287000
6018,Bachelors degree,269000
1617,Masters degree,526000
311,Pre-degree college,578000
190,Pre-degree college,565000
672,Masters degree,884000
1467,Bachelors degree,548000
1666,Associates degree,296000
2001,Bachelors degree,590000
1544,Regular high school diploma,251000
4340,Masters degree,462000
288,Masters degree,914000
5298,Regular high school diploma,203000
78,GED or alternative credential,371000
1081,Associates degree,244000
1014,Masters degree,676000
3811,Bachelors degree,632000
826,Pre-degree college,299000
295,Associates degree,576000
2867,N/A,224000
3570,Bachelors degree,385000
2107,Associates degree,183000
3677,Bachelors degree,360000
179,Associates degree,782000
581,Associates degree,265000
2220,Pre-degree college,256000
429,Bachelors degree,776000
1056,Pre-degree college,512000
5547,Masters degree,793000
825,Pre-degree college,333000
1273,Pre-degree college,347000
2800,Masters degree,400000
4223,N/A,285000
711,Pre-degree college,420000
3521,N/A,204000
1999,Bachelors degree,505000
1212,Pre-degree college,494000
101,Bachelors degree,855000
3266,Regular high school diploma,192000
7376,Regular high school diploma,158000
4852,Masters degree,519000
196,Regular high school diploma,578000
538,N/A,387000
1062,Masters degree,635000
2677,Bachelors degree,370000
3967,Associates degree,209000
2999,Masters degree,440000
495,Pre-diploma grade,419000
1063,Regular high school diploma,333000
382,Bachelors degree,765000
2279,N/A,365000
1910,Masters degree,641000
308,GED or alternative credential,239000
807,Bachelors degree,579000
2651,Regular high school diploma,296000
1638,Pre-degree college,662000
2771,Masters degree,387000
1585,Masters degree,484000
226,N/A,721000
971,N/A,336000
3534,Masters degree,699000
191,Masters degree,936000
831,Bachelors degree,850000
3045,Bachelors degree,444000
73,Masters degree,982000
476,N/A,449000
606,N/A,484000
3297,Masters degree,477000
5591,Bachelors degree,326000
549,Masters degree,800000
214,Pre-diploma grade,222000
2216,Masters degree,330000
2708,Bachelors degree,631000
5339,Associates degree,203000
1594,N/A,275000
602,Pre-degree college,422000
169,GED or alternative credential,263000
408,Pre-degree college,583000
754,GED or alternative credential,197000
407,Masters degree,1105000
2775,Masters degree,423000
3570,N/A,267000
1849,Bachelors degree,498000
696,Associates degree,286000
3661,Bachelors degree,541000
3925,Bachelors degree,445000
4160,Masters degree,300000
5149,Masters degree,521000
482,Masters degree,762000
692,Pre-degree college,535000
986,Masters degree,624000
654,Regular high school diploma,389000
452,Bachelors degree,724000
963,Regular high school diploma,281000
550,Pre-degree college,374000
1338,Pre-degree college,247000
486,Regular high school diploma,547000
569,Regular high school diploma,351000
485,Bachelors degree,783000
2258,Pre-degree college,-9000
998,Associates degree,256000
853,Regular high school diploma,265000
2011,N/A,314000
3107,Masters degree,468000
316,Masters degree,890000
306,Associates degree,341000
5569,Bachelors degree,312000
10,Masters degree,1400000
1358,Masters degree,674000
138,GED or alternative credential,396000
354,Masters degree,801000
932,Pre-degree college,366000
115,Masters degree,960000
47,N/A,983000
916,Regular high school diploma,286000
308,Pre-diploma grade,522000
369,Regular high school diploma,524000
2559,Masters degree,516000
622,N/A,516000
238,Regular high school diploma,599000
2103,GED or alternative credential,133000
1321,Regular high school diploma,297000
37,GED or alternative credential,402000
3468,Masters degree,414000
547,Regular high school diploma,376000
323,Associates degree,260000
65,N/A,676000
152,Bachelors degree,865000
1074,Associates degree,-9000
23,Regular high school diploma,1202000
2018,Pre-degree college,297000
464,Pre-degree college,719000
332,Pre-degree college,726000
1986,Bachelors degree,528000
775,Regular high school diploma,329000
1449,Pre-degree college,265000
503,Bachelors degree,809000
1192,Bachelors degree,533000
463,Masters degree,844000
2644,Regular high school diploma,210000
1165,Pre-degree college,442000
2976,Pre-degree college,244000
1821,Masters degree,569000
336,Associates degree,351000
363,N/A,440000
808,Regular high school diploma,259000
1027,N/A,441000
412,Pre-diploma grade,262000
98,N/A,733000
73,Pre-diploma grade,653000
1763,Pre-degree college,281000
618,Pre-degree college,524000
1039,Masters degree,721000
1206,Pre-degree college,433000
575,N/A,510000
126,Pre-degree college,737000
909,Pre-diploma grade,164000
605,Regular high school diploma,299000
706,Pre-diploma grade,185000
914,Regular high school diploma,576000
117,GED or alternative credential,409000
272,Masters degree,846000
751,Regular high school diploma,502000
1041,Regular high school diploma,298000
2606,Pre-diploma grade,127000
1511,Pre-diploma grade,-8000
426,Associates degree,512000
770,N/A,519000
1149,Pre-degree college,298000
954,N/A,461000
1432,Associates degree,227000
532,N/A,310000
29,Pre-degree college,856000
332,Bachelors degree,814000
188,Masters degree,1146000
426,Bachelors degree,748000
2382,Bachelors degree,551000
1585,Regular high school diploma,244000
729,Regular high school diploma,479000
847,N/A,373000
341,N/A,-6000
146,Pre-diploma grade,472000
493,Bachelors degree,811000
345,Pre-degree college,572000
731,Regular high school diploma,447000
542,N/A,454000
950,Regular high school diploma,347000
52,Regular high school diploma,647000
158,Pre-degree college,615000
674,N/A,414000
438,N/A,330000
1705,Masters degree,457000
96,Associates degree,647000
1112,Pre-degree college,260000
514,Associates degree,333000
44,Masters degree,1050000
212,Pre-diploma grade,335000
1295,Bachelors degree,531000
714,Regular high school diploma,366000
230,Regular high school diploma,572000
345,N/A,337000
488,Associates degree,442000
772,N/A,350000
1795,N/A,644000
127,Pre-diploma grade,332000
404,Masters degree,983000
801,Pre-degree college,329000
561,Masters degree,-5000
674,N/A,462000
587,Pre-diploma grade,190000
18,N/A,1138000
306,Regular high school diploma,446000
451,Associates degree,247000
298,Pre-diploma grade,458000
1113,Regular high school diploma,256000
792,Bachelors degree,655000
1010,Associates degree,251000
11,Pre-diploma grade,744000
341,Associates degree,422000
953,Masters degree,817000
1161,Masters degree,755000
559,Masters degree,770000
341,GED or alternative credential,212000
478,Regular high school diploma,726000
505,Masters degree,723000
404,Masters degree,1014000
65,Regular high school diploma,718000
705,GED or alternative credential,175000
290,Masters degree,911000
13,Pre-degree college,1038000
210,Regular high school diploma,584000
1828,Masters degree,482000
182,Regular high school diploma,577000
56,Pre-degree college,1110000
631,Pre-degree college,502000
500,Bachelors degree,1026000
189,Associates degree,475000
515,Pre-degree college,589000
25,N/A,800000
128,Pre-diploma grade,434000
1766,Pre-diploma grade,138000
691,Bachelors degree,638000
575,Regular high school diploma,-4000
94,Bachelors degree,949000
372,Bachelors degree,804000
405,Associates degree,299000
907,N/A,283000
1453,N/A,552000
681,Regular high school diploma,294000
109,Pre-diploma grade,603000
172,Masters degree,907000
54,N/A,770000
180,Pre-diploma grade,380000
176,Bachelors degree,834000
146,N/A,635000
533,Regular high school diploma,512000
47,N/A,815000
218,Masters degree,836000
604,N/A,793000
298,Pre-degree college,782000
1224,Masters degree,616000
59,Masters degree,1030000
6,N/A,801000
804,Pre-degree college,479000
32,N/A,997000
390,Bachelors degree,725000
369,N/A,400000
600,Masters degree,679000
1311,Pre-diploma grade,165000
669,N/A,546000
442,Associates degree,-4000
944,Regular high school diploma,247000
121,GED or alternative credential,706000
672,Pre-degree college,475000
10,N/A,1034000
778,Masters degree,733000
168,Associates degree,572000
163,Pre-degree college,637000
533,Bachelors degree,607000
370,GED or alternative credential,290000
591,Associates degree,433000
246,GED or alternative credential,243000
131,Masters degree,994000
41,Masters degree,1161000
379,Associates degree,376000
105,Pre-degree college,710000
740,Regular high school diploma,260000
397,Masters degree,787000
237,N/A,674000
362,Associates degree,356000
269,Regular high school diploma,565000
246,Associates degree,389000
1128,Pre-diploma grade,237000
102,Pre-degree college,647000
722,Pre-diploma grade,170000
244,Masters degree,822000
316,Bachelors degree,1085000
131,GED or alternative credential,568000
171,GED or alternative credential,383000
35,Regular high school diploma,944000
486,Regular high school diploma,475000
447,Regular high school diploma,719000
395,Associates degree,366000
149,GED or alternative credential,425000
97,Associates degree,726000
43,Bachelors degree,1051000
355,GED or alternative credential,277000
2499,Masters degree,465000
301,N/A,553000
75,GED or alternative credential,406000
6,Pre-degree college,1049000
66,Masters degree,1035000
31,Pre-degree college,862000
919,N/A,507000
870,Pre-degree college,447000
84,Pre-degree college,731000
108,Associates degree,625000
693,Associates degree,297000
413,Masters degree,751000
580,Pre-diploma grade,211000
325,Regular high school diploma,640000
39,Associates degree,747000
215,Pre-diploma grade,430000
303,Bachelors degree,872000
158,Pre-diploma grade,382000
79,Pre-degree college,756000
171,Pre-degree college,667000
217,Associates degree,374000
107,Pre-diploma grade,754000
73,N/A,822000
890,Masters degree,690000
677,Regular high school diploma,374000
922,Regular high school diploma,356000
476,Regular high school diploma,420000
12,Masters degree,1403000
34,Pre-diploma grade,693000
312,N/A,492000
768,Pre-diploma grade,319000
48,Regular high school diploma,708000
12,N/A,994000
107,Masters degree,915000
244,N/A,659000
402,GED or alternative credential,418000
212,Associates degree,589000
153,GED or alternative credential,390000
201,Associates degree,502000
464,N/A,359000
15,Regular high school diploma,1028000
235,Pre-diploma grade,496000
541,Associates degree,259000
90,Pre-degree college,687000
156,N/A,704000
113,Pre-degree college,877000
500,Associates degree,294000
56,N/A,723000
559,N/A,468000
56,N/A,846000
180,N/A,596000
22,Associates degree,695000
344,N/A,526000
1210,Regular high school diploma,494000
509,Associates degree,298000
65,GED or alternative credential,415000
50,GED or alternative credential,622000
253,Regular high school diploma,422000
433,Pre-diploma grade,306000
79,Regular high school diploma,625000
136,GED or alternative credential,450000
54,Regular high school diploma,648000
139,Masters degree,878000
71,GED or alternative credential,759000
26,N/A,1105000
695,Bachelors degree,740000
339,Pre-diploma grade,361000
111,Bachelors degree,939000
37,Pre-degree college,852000
295,GED or alternative credential,407000
575,Pre-diploma grade,187000
131,Pre-degree college,599000
617,Associates degree,281000
276,Pre-diploma grade,471000
215,GED or alternative credential,334000
675,N/A,517000
513,Bachelors degree,761000
374,Pre-degree college,547000
37,Bachelors degree,916000
81,Pre-degree college,808000
130,Masters degree,922000
637,Bachelors degree,736000
23,Bachelors degree,1272000
306,N/A,557000
209,Bachelors degree,828000
125,Pre-diploma grade,305000
41,Pre-diploma grade,556000
155,Pre-diploma grade,513000
359,N/A,465000
140,Bachelors degree,938000
85,Pre-diploma grade,413000
112,Pre-degree college,621000
169,Masters degree,889000
465,Associates degree,494000
537,N/A,377000
159,Pre-degree college,720000
205,Pre-diploma grade,395000
25,Masters degree,1099000
157,Associates degree,563000
232,Masters degree,815000
19,Bachelors degree,1207000
485,GED or alternative credential,272000
258,Associates degree,329000
67,Regular high school diploma,784000
78,Associates degree,687000
224,N/A,732000
148,Pre-diploma grade,309000
405,N/A,727000
380,Pre-degree college,640000
19,Regular high school diploma,756000
315,Associates degree,535000
175,Masters degree,901000
70,Pre-degree college,686000
43,Bachelors degree,1075000
91,Associates degree,583000
437,GED or alternative credential,199000
60,Pre-diploma grade,403000
444,Bachelors degree,845000
172,Associates degree,547000
370,Bachelors degree,683000
481,N/A,477000
332,Bachelors degree,893000
59,Masters degree,1237000
36,Bachelors degree,1706000
108,Masters degree,971000
15,N/A,976000
193,Pre-diploma grade,509000
271,Pre-degree college,857000
149,Masters degree,918000
385,Associates degree,347000
63,Regular high school diploma,710000
293,Regular high school diploma,508000
755,Pre-degree college,563000
116,N/A,624000
124,GED or alternative credential,566000
29,Pre-degree college,823000
80,Bachelors degree,1167000
43,Associates degree,719000
252,GED or alternative credential,266000
153,Pre-diploma grade,642000
54,Regular high school diploma,695000
401,N/A,641000
77,Associates degree,524000
76,Regular high school diploma,731000
144,Regular high school diploma,549000
48,Bachelors degree,970000
69,N/A,1014000
10,Associates degree,620000
270,Associates degree,420000
11,Bachelors degree,1190000
10,Pre-diploma grade,539000
19,GED or alternative credential,656000
14,Pre-diploma grade,735000
42,Pre-degree college,708000
128,Masters degree,972000
286,Regular high school diploma,589000
304,N/A,429000
44,Pre-degree college,718000
11,N/A,1147000
239,Pre-diploma grade,399000
61,Pre-diploma grade,650000
240,GED or alternative credential,226000
176,Masters degree,869000
118,Masters degree,937000
161,GED or alternative credential,364000
20,Pre-diploma grade,411000
172,GED or alternative credential,436000
14,Bachelors degree,955000
6,Masters degree,1198000
15,Regular high school diploma,877000
42,N/A,816000
15,GED or alternative credential,717000
142,N/A,817000
108,GED or alternative credential,273000
61,GED or alternative credential,487000
65,Masters degree,1196000
635,Pre-diploma grade,489000
123,Regular high school diploma,621000
291,Associates degree,577000
43,GED or alternative credential,304000
136,Pre-diploma grade,473000
27,Pre-degree college,707000
73,Regular high school diploma,857000
65,Bachelors degree,950000
246,N/A,660000
16,Regular high school diploma,862000
49,Associates degree,578000
63,GED or alternative credential,354000
56,Masters degree,980000
91,GED or alternative credential,386000
9,Regular high school diploma,993000
101,Bachelors degree,957000
181,Pre-degree college,625000
75,Pre-diploma grade,404000
74,Pre-diploma grade,254000
55,Associates degree,718000
163,GED or alternative credential,388000
91,Associates degree,615000
132,Pre-degree college,695000
344,Regular high school diploma,782000
331,Associates degree,447000
225,N/A,616000
200,Masters degree,816000
167,N/A,690000
54,N/A,878000
24,Bachelors degree,1258000
170,N/A,778000
7,GED or alternative credential,798000
221,GED or alternative credential,308000
33,GED or alternative credential,591000
187,Pre-diploma grade,701000
164,Associates degree,508000
82,Masters degree,1222000
14,Masters degree,1678000
27,Masters degree,1178000
194,Pre-degree college,549000
42,Pre-degree college,885000
79,Associates degree,446000
28,Associates degree,708000
89,N/A,884000
21,Associates degree,737000
30,N/A,1288000
22,Regular high school diploma,775000
45,Bachelors degree,1162000
22,GED or alternative credential,824000
108,GED or alternative credential,523000
187,Associates degree,549000
13,Bachelors degree,1434000
34,N/A,777000
14,Pre-degree college,1202000
45,N/A,937000
104,Pre-diploma grade,435000
5,Pre-degree college,1554000
21,N/A,922000
68,Associates degree,640000
12,Bachelors degree,1256000
42,Associates degree,599000
208,GED or alternative credential,291000
87,Pre-degree college,1097000
78,Pre-degree college,648000
282,Regular high school diploma,615000
39,Bachelors degree,929000
314,N/A,738000
86,Pre-diploma grade,608000
74,N/A,901000
23,Regular high school diploma,981000
6,GED or alternative credential,1032000
150,Pre-degree college,839000
54,Bachelors degree,1119000
64,Bachelors degree,1195000
53,Masters degree,997000
123,Regular high school diploma,667000
16,Bachelors degree,1149000
47,Bachelors degree,1112000
12,Pre-diploma grade,1156000
51,Associates degree,637000
10,Masters degree,1590000
48,Regular high school diploma,808000
27,N/A,942000
67,N/A,1131000
173,Pre-degree college,584000
38,Regular high school diploma,686000
12,Pre-diploma grade,709000
27,Masters degree,1560000
3,Regular high school diploma,967000
1,N/A,915000
71,N/A,787000
157,Masters degree,1136000
37,Bachelors degree,1181000
16,GED or alternative credential,594000
25,Masters degree,973000
66,Pre-degree college,747000
42,Bachelors degree,947000
80,Pre-diploma grade,597000
20,Masters degree,1147000
74,Pre-diploma grade,581000
139,Bachelors degree,1048000
124,Associates degree,565000
23,Bachelors degree,1126000
63,Masters degree,1361000
94,Masters degree,1018000
35,Regular high school diploma,583000
61,Pre-degree college,620000
10,Regular high school diploma,803000
91,GED or alternative credential,847000
16,Masters degree,1430000
11,Masters degree,1060000
87,GED or alternative credential,349000
45,N/A,914000
47,Regular high school diploma,737000
122,Bachelors degree,990000
9,Masters degree,1494000
11,Pre-diploma grade,940000
117,Masters degree,1059000
43,Bachelors degree,1128000
27,N/A,1035000
38,N/A,1134000
19,Pre-diploma grade,618000
22,Pre-diploma grade,796000
106,N/A,-5000
34,N/A,869000
12,Bachelors degree,1319000
45,Regular high school diploma,637000
35,Masters degree,1288000
62,Associates degree,710000
29,Regular high school diploma,979000
112,Associates degree,621000
15,Bachelors degree,1182000
18,N/A,1136000
41,Associates degree,731000
44,N/A,679000
29,Pre-degree college,803000
76,N/A,751000
35,Associates degree,667000
76,Associates degree,648000
45,Pre-degree college,944000
4,Bachelors degree,1123000
71,Bachelors degree,1046000
39,Regular high school diploma,969000
55,Bachelors degree,881000
35,N/A,762000
60,Pre-degree college,830000
145,Bachelors degree,875000
58,GED or alternative credential,327000
12,Associates degree,860000
25,N/A,936000
38,Regular high school diploma,856000
20,Pre-degree college,981000
15,Pre-degree college,1169000
110,Associates degree,1102000
97,Bachelors degree,802000
28,Masters degree,1377000
6,Masters degree,1034000
30,N/A,1100000
14,Regular high school diploma,696000
19,Bachelors degree,1197000
12,Associates degree,808000
20,Bachelors degree,1003000
81,Pre-degree college,775000
38,Pre-diploma grade,685000
8,Pre-degree college,948000
14,Bachelors degree,1424000
13,Associates degree,775000
40,Pre-diploma grade,501000
67,Bachelors degree,1088000
26,Pre-degree college,696000
9,Masters degree,1062000
23,Regular high school diploma,620000
34,Bachelors degree,1426000
41,GED or alternative credential,342000
87,Masters degree,1263000
14,GED or alternative credential,996000
14,Regular high school diploma,935000
26,Pre-diploma grade,602000
27,Bachelors degree,1344000
66,Associates degree,584000
25,Pre-degree college,967000
24,Pre-degree college,1236000
