PWGTP,ESR,name,Income
2996,Civilian employed,Public Assistance Income [PAP],1000
1470,Civilian employed,Public Assistance Income [PAP],2000
1149,Unemployed/NA,Supplementary Security Income [SSIP],17000
2721,Unemployed/NA,Supplementary Security Income [SSIP],8000
1213,Unemployed/NA,Public Assistance Income [PAP],29000
1426,Unemployed/NA,Supplementary Security Income [SSIP],12000
1482,Unemployed/NA,Public Assistance Income [PAP],1000
1822,Civilian employed,Public Assistance Income [PAP],2000
1109,Unemployed/NA,Supplementary Security Income [SSIP],12000
1721,Unemployed/NA,Public Assistance Income [PAP],1000
1721,Unemployed/NA,Supplementary Security Income [SSIP],5000
1067,Civilian employed,Public Assistance Income [PAP],2000
1148469,Unemployed/NA,Supplementary Security Income [SSIP],10000
29264,Unemployed/NA,Supplementary Security Income [SSIP],1000
201509,Unemployed/NA,Supplementary Security Income [SSIP],6000
1447,Unemployed/NA,Public Assistance Income [PAP],1000
1447,Unemployed/NA,Supplementary Security Income [SSIP],13000
5486,Unemployed/NA,Supplementary Security Income [SSIP],10000
10387,Unemployed/NA,Supplementary Security Income [SSIP],2000
88051,Unemployed/NA,Supplementary Security Income [SSIP],4000
17300,Unemployed/NA,Supplementary Security Income [SSIP],10000
11500,Unemployed/NA,Public Assistance Income [PAP],1000
11500,Unemployed/NA,Supplementary Security Income [SSIP],10000
12815,Unemployed/NA,Supplementary Security Income [SSIP],7000
3619,Unemployed/NA,Public Assistance Income [PAP],1000
3619,Unemployed/NA,Supplementary Security Income [SSIP],9000
10574,Unemployed/NA,Supplementary Security Income [SSIP],7000
1324,Unemployed/NA,Supplementary Security Income [SSIP],13000
3403,Unemployed/NA,Supplementary Security Income [SSIP],8000
2969,Unemployed/NA,Supplementary Security Income [SSIP],13000
3129,Unemployed/NA,Public Assistance Income [PAP],3000
7973,Unemployed/NA,Supplementary Security Income [SSIP],6000
1457,Civilian employed,Supplementary Security Income [SSIP],10000
2589,Unemployed/NA,Supplementary Security Income [SSIP],2000
1786,Civilian employed,Public Assistance Income [PAP],1000
